Timestamp,What gender do you identify as?,What is your ethnicity?,What year are you?,What is your favorite type of ice cream?,When you enjoy ice cream most,Where do you enjoy ice cream the most?,Why do you enjoy your favorite ice cream the most,Why do you enjoy ice cream at the time you do?,Why do you eat it where you do?
1/28/2024 20:14:49,Male,African-American,freshman,mint chocolate chip,10:01pm-12am,Home,the taste,desert time,already at home
1/28/2024 20:16:07,Female,Caucasian,junior,Cookie Dough,8:01-10pm,Home,the taste,desert time,already at home
1/28/2024 20:24:33,Male,Caucasian,senior,Cookie Dough,10:01pm-12am,Home,the taste,desert time,already at home
1/28/2024 20:25:43,Male,Caucasian,senior,mint chocolate chip,Anytime,Anywhere,the taste,a good snack,already at home
1/28/2024 20:27:22,Male,Caucasian,senior,Cookie Dough,10:01pm-12am,Home,the taste,desert time,already at home
1/28/2024 20:27:51,Male,Caucasian,freshman,strawberry,4-6pm,ice cream store,the taste,a good snack,tradition to eat it at this place
1/28/2024 20:30:55,Male,Caucasian,Graduate,Tonight Dough Ben and Jerry’s,8:01-10pm,Home,the taste,desert time,Tastes better with that spoon from home
1/28/2024 20:30:56,Male,Caucasian,junior,Vanilla,8:01-10pm,Home,the taste,"desert time, a good snack","already at home, going out with friends, tradition to eat it at this place"
1/28/2024 20:33:09,Male,Caucasian,senior,mint chocolate chip,10:01pm-12am,Home,have a fond memory associated,a tradition to eat it at this time,tradition to eat it at this place
1/28/2024 21:17:55,Male,Caucasian,senior,Moose tracks ,10:01pm-12am,Home,the taste,desert time,I like to eat it naked 
1/28/2024 21:51:49,Male,Caucasian,freshman,Cookie Dough,8:01-10pm,Home,have a fond memory associated,desert time,already at home
